incident_number,short_description,category,subcategory,priority,state,opened_at,resolved_at,closed_at,assigned_to,assignment_group,opened_by,contact_type,sla_breach,satisfaction_score
INC1000010,Password Reset - User request,Password Reset,VPN Password,P2 - High,Reopened,2024-01-05 14:04:38,2024-01-05 16:32:27,,robert.lewis,Service Desk L1,Iris.Martin,Self-Service Portal,false,
INC1000011,Password Reset - User request,Password Reset,AD Password,P2 - High,Closed,2024-01-24 08:48:59,2024-01-24 09:47:11,2024-01-24 10:22:11,robert.lewis,Service Desk L2,David.Davis,Email,false,3.6
INC1000012,Account Unlock - User request,Account Unlock,General,P3 - Medium,Closed,2024-01-15 12:45:21,2024-01-15 21:48:32,2024-01-15 22:57:32,lisa.taylor,Service Desk L1,David.Chen,Walk-in,false,4.2
INC1000013,Other - User request,Other,General,P3 - Medium,Closed,2024-01-11 12:53:23,2024-01-11 16:56:10,2024-01-11 17:56:10,sarah.jones,Service Desk L1,Nathan.Anderson,Phone,false,
INC1000014,Password Reset - User request,Password Reset,Email Password,P4 - Low,Closed,2024-01-26 13:55:47,2024-01-26 15:15:13,2024-01-26 15:58:13,john.smith,Security Team,Iris.Chen,Chat,false,5.0
INC1000015,Other - User request,Other,General,P3 - Medium,Closed,2024-01-23 13:53:34,2024-01-23 20:34:58,2024-01-23 22:29:58,robert.lewis,Service Desk L2,Alice.Quinn,Email,false,5.0
INC1000016,Other - User request,Other,General,P4 - Low,Closed,2024-01-10 10:04:42,2024-01-12 04:18:01,2024-01-12 05:58:01,john.smith,Service Desk L1,Rachel.Anderson,Email,false,
INC1000017,Software Installation - User request,Software Installation,Development Tools,P3 - Medium,Closed,2024-01-15 11:28:43,2024-01-15 22:03:22,2024-01-15 23:39:22,james.harris,Service Desk L1,Alice.Baker,Walk-in,false,4.3
INC1000018,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-02 09:56:40,2024-01-02 13:50:53,2024-01-02 15:41:53,mike.wilson,Service Desk L1,Olivia.Evans,Self-Service Portal,false,5.0
INC1000019,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-18 18:57:28,2024-01-20 03:01:55,2024-01-20 04:16:55,james.harris,Network Team,Carol.Walsh,Self-Service Portal,true,1.0
INC1000020,Software Installation - User request,Software Installation,Business App,P2 - High,Closed,2024-01-16 16:05:08,2024-01-16 17:26:38,2024-01-16 17:48:38,sarah.jones,Service Desk L2,Yuki.Martin,Self-Service Portal,false,4.4
INC1000021,System Performance - User request,System Performance,General,P4 - Low,Closed,2024-01-27 12:47:34,2024-01-30 04:19:15,2024-01-30 06:16:15,sarah.jones,Service Desk L1,Uma.Nelson,Email,false,3.6
INC1000022,Password Reset - User request,Password Reset,AD Password,P3 - Medium,Closed,2024-01-02 08:20:13,2024-01-02 08:40:18,2024-01-02 09:55:18,sarah.jones,Service Desk L1,Tina.Evans,Self-Service Portal,false,5.0
INC1000023,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-02 10:13:29,2024-01-02 13:57:06,2024-01-02 15:56:06,david.brown,Service Desk L1,Sam.Walsh,Email,false,
INC1000024,System Performance - User request,System Performance,General,P2 - High,Closed,2024-01-16 16:38:51,2024-01-16 18:09:59,2024-01-16 19:17:59,mike.wilson,Service Desk L2,Olivia.Nelson,Self-Service Portal,false,4.2
INC1000025,System Performance - User request,System Performance,General,P2 - High,Closed,2024-01-18 16:53:59,2024-01-18 20:15:43,2024-01-18 20:33:43,mike.wilson,Service Desk L1,Rachel.Anderson,Email,false,2.6
INC1000026,Network Connectivity - User request,Network Connectivity,VPN,P4 - Low,Closed,2024-01-08 14:31:35,2024-01-10 13:50:07,2024-01-10 15:33:07,lisa.taylor,Service Desk L2,Iris.Hall,Email,false,3.4
INC1000027,Password Reset - User request,Password Reset,VPN Password,P2 - High,Closed,2024-01-01 12:48:44,2024-01-01 13:09:10,2024-01-01 14:00:10,emma.white,Security Team,Iris.Baker,Phone,false,5.0
INC1000028,Other - User request,Other,General,P2 - High,Closed,2024-01-10 13:48:31,2024-01-10 17:37:58,2024-01-10 18:00:58,robert.lewis,Service Desk L1,Tina.Thomas,Phone,false,2.4
INC1000029,Printer Issue - User request,Printer Issue,General,P4 - Low,Closed,2024-01-23 10:28:19,2024-01-25 01:12:24,2024-01-25 01:54:24,emma.white,Service Desk L1,Wendy.Thomas,Phone,false,
INC1000030,Hardware Issue - User request,Hardware Issue,Keyboard/Mouse,P3 - Medium,Closed,2024-01-15 14:44:55,2024-01-18 00:06:18,2024-01-18 01:30:18,david.brown,Service Desk L1,Wendy.Johnson,Phone,true,
INC1000031,VPN Access - User request,VPN Access,General,P4 - Low,Closed,2024-01-27 10:38:02,2024-01-29 22:28:58,2024-01-29 23:56:58,john.smith,Service Desk L1,Iris.Foster,Self-Service Portal,false,3.4
INC1000032,Other - User request,Other,General,P3 - Medium,Closed,2024-01-24 20:30:22,2024-01-25 02:35:13,2024-01-25 04:14:13,john.smith,Service Desk L2,Nathan.Baker,Email,false,5.0
INC1000033,Password Reset - User request,Password Reset,AD Password,P3 - Medium,Closed,2024-01-22 10:48:03,2024-01-22 16:54:27,2024-01-22 18:29:27,mike.wilson,Service Desk L1,Olivia.Davis,Phone,false,3.9
INC1000034,VPN Access - User request,VPN Access,General,P4 - Low,Closed,2024-01-15 11:17:26,2024-01-16 14:34:44,2024-01-16 14:57:44,anna.clark,Hardware Team,Olivia.Roberts,Email,false,3.8
INC1000035,Network Connectivity - User request,Network Connectivity,Firewall,P2 - High,Pending,2024-01-23 11:20:55,,,sarah.jones,Service Desk L2,Eve.Quinn,Chat,false,
INC1000036,Other - User request,Other,General,P3 - Medium,Closed,2024-01-02 16:28:06,2024-01-02 22:56:01,2024-01-03 00:11:01,mike.wilson,Service Desk L1,Uma.Walsh,Email,false,5.0
INC1000037,Security Alert - User request,Security Alert,General,P3 - Medium,Closed,2024-01-03 12:15:40,2024-01-03 17:44:39,2024-01-03 19:29:39,john.smith,Security Team,Eve.Hall,Phone,false,5.0
INC1000038,Network Connectivity - User request,Network Connectivity,Ethernet,P4 - Low,Closed,2024-01-10 08:05:39,2024-01-11 14:42:35,2024-01-11 15:29:35,anna.clark,Service Desk L2,Olivia.Lopez,Chat,false,3.3
INC1000039,Other - User request,Other,General,P3 - Medium,Closed,2024-01-23 13:29:54,2024-01-23 16:50:28,2024-01-23 17:07:28,mike.wilson,Service Desk L2,Henry.Upton,Self-Service Portal,false,
INC1000040,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-08 10:57:40,2024-01-08 12:13:55,2024-01-08 14:03:55,lisa.taylor,Service Desk L1,Zara.Johnson,Self-Service Portal,false,4.7
INC1000041,Account Unlock - User request,Account Unlock,General,P4 - Low,Closed,2024-01-01 11:04:09,2024-01-01 17:33:08,2024-01-01 18:59:08,david.brown,Service Desk L2,Peter.Anderson,Email,false,
INC1000042,Email / Outlook - User request,Email / Outlook,Calendar issue,P2 - High,Closed,2024-01-20 17:14:41,2024-01-20 18:39:44,2024-01-20 19:57:44,john.smith,Service Desk L1,Nathan.Upton,Email,false,
INC1000043,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-23 17:17:02,2024-01-23 18:12:20,2024-01-23 19:49:20,sarah.jones,Service Desk L1,Zara.Kim,Self-Service Portal,false,
INC1000044,Password Reset - User request,Password Reset,Email Password,P3 - Medium,Open,2024-01-08 06:48:35,,,anna.clark,Hardware Team,Leo.Zhang,Email,false,
INC1000045,Printer Issue - User request,Printer Issue,General,P4 - Low,Closed,2024-01-04 08:03:08,2024-01-05 08:06:36,2024-01-05 09:25:36,lisa.taylor,Service Desk L2,Maria.Nelson,Self-Service Portal,false,
INC1000046,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-24 07:05:20,2024-01-24 10:36:16,2024-01-24 12:07:16,david.brown,Service Desk L1,Karen.O'Brien,Self-Service Portal,false,3.8
INC1000047,Hardware Issue - User request,Hardware Issue,Monitor,P3 - Medium,Closed,2024-01-18 10:42:16,2024-01-22 07:56:06,2024-01-22 08:26:06,lisa.taylor,Security Team,David.Scott,Chat,true,1.0
INC1000048,Network Connectivity - User request,Network Connectivity,VPN,P4 - Low,Closed,2024-01-22 09:06:22,2024-01-22 17:50:34,2024-01-22 19:49:34,lisa.taylor,Service Desk L2,Karen.Lopez,Self-Service Portal,false,3.8
INC1000049,Password Reset - User request,Password Reset,AD Password,P4 - Low,Closed,2024-01-26 06:47:40,2024-01-26 08:40:30,2024-01-26 09:34:30,mike.wilson,Network Team,Victor.Chen,Email,false,4.1
INC1000050,Software Installation - User request,Software Installation,Adobe Suite,P3 - Medium,Closed,2024-01-25 12:26:17,2024-01-25 20:38:51,2024-01-25 22:00:51,john.smith,Service Desk L2,Karen.Davis,Phone,false,4.0
INC1000051,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-11 07:34:45,2024-01-11 10:38:19,2024-01-11 11:48:19,mike.wilson,Hardware Team,Maria.Anderson,Chat,false,
INC1000052,Other - User request,Other,General,P2 - High,Closed,2024-01-22 15:58:23,2024-01-22 18:32:41,2024-01-22 19:30:41,lisa.taylor,Service Desk L2,David.Evans,Email,false,
INC1000053,Software Installation - User request,Software Installation,Adobe Suite,P2 - High,Closed,2024-01-08 14:41:04,2024-01-08 18:10:08,2024-01-08 19:37:08,emma.white,Hardware Team,Olivia.Upton,Email,false,4.2
INC1000054,Software Installation - User request,Software Installation,Adobe Suite,P3 - Medium,Closed,2024-01-02 10:04:19,2024-01-02 12:29:55,2024-01-02 14:00:55,sarah.jones,Network Team,Bob.O'Brien,Chat,false,3.9
INC1000055,Password Reset - User request,Password Reset,AD Password,P3 - Medium,Closed,2024-01-19 22:05:32,2024-01-20 01:08:01,2024-01-20 02:49:01,anna.clark,Network Team,Iris.Xu,Email,false,4.6
INC1000056,System Performance - User request,System Performance,General,P2 - High,Closed,2024-01-13 09:37:42,2024-01-13 12:25:37,2024-01-13 13:28:37,david.brown,Network Team,Leo.Johnson,Chat,false,
INC1000057,Password Reset - User request,Password Reset,Application Password,P2 - High,Closed,2024-01-22 08:08:09,2024-01-22 08:25:41,2024-01-22 10:08:41,john.smith,Network Team,Olivia.Thomas,Phone,false,4.3
INC1000058,Software Installation - User request,Software Installation,Microsoft Office,P4 - Low,Closed,2024-01-25 09:15:19,2024-01-25 13:36:37,2024-01-25 14:55:37,lisa.taylor,Network Team,Wendy.Quinn,Phone,false,2.8
INC1000059,System Performance - User request,System Performance,General,P2 - High,Reopened,2024-01-09 09:57:32,2024-01-09 10:26:03,,sarah.jones,Service Desk L1,Alice.Kim,Email,false,
INC1000060,Other - User request,Other,General,P3 - Medium,Closed,2024-01-19 15:08:02,2024-01-21 02:35:52,2024-01-21 02:50:52,john.smith,Service Desk L1,Jack.Davis,Phone,true,1.0
INC1000061,Password Reset - User request,Password Reset,Email Password,P3 - Medium,Reopened,2024-01-22 06:53:57,2024-01-22 09:12:55,,lisa.taylor,Service Desk L1,Quinn.Roberts,Email,false,
INC1000062,Network Connectivity - User request,Network Connectivity,Ethernet,P3 - Medium,Closed,2024-01-07 10:30:02,2024-01-07 14:06:14,2024-01-07 15:03:14,david.brown,Service Desk L2,Wendy.Young,Self-Service Portal,false,5.0
INC1000063,Other - User request,Other,General,P1 - Critical,Closed,2024-01-08 05:12:56,2024-01-08 08:44:11,2024-01-08 09:23:11,robert.lewis,Security Team,Maria.Xu,Phone,true,
INC1000064,Hardware Issue - User request,Hardware Issue,Desktop,P3 - Medium,Closed,2024-01-20 20:31:44,2024-01-27 07:36:06,2024-01-27 09:36:06,james.harris,Service Desk L1,Olivia.Baker,Phone,true,
INC1000065,Account Unlock - User request,Account Unlock,General,P2 - High,Closed,2024-01-26 09:50:03,2024-01-26 15:31:06,2024-01-26 17:03:06,james.harris,Service Desk L1,Tina.Evans,Phone,true,2.1
INC1000066,VPN Access - User request,VPN Access,General,P2 - High,Open,2024-01-20 10:04:36,,,sarah.jones,Service Desk L2,Tina.Johnson,Email,false,
INC1000067,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-14 08:54:04,2024-01-15 06:20:47,2024-01-15 07:15:47,john.smith,Service Desk L1,Grace.Zhang,Phone,false,2.1
INC1000068,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-04 09:36:23,2024-01-04 10:45:07,2024-01-04 11:16:07,lisa.taylor,Service Desk L2,Nathan.Quinn,Email,false,3.8
INC1000069,Other - User request,Other,General,P2 - High,Closed,2024-01-01 11:19:10,2024-01-01 19:01:45,2024-01-01 19:41:45,robert.lewis,Service Desk L1,Alice.Chen,Email,true,
INC1000070,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-17 11:49:36,2024-01-17 15:20:10,2024-01-17 16:36:10,david.brown,Network Team,Nathan.Park,Email,false,
INC1000071,Hardware Issue - User request,Hardware Issue,Docking Station,P4 - Low,Closed,2024-01-09 09:45:20,2024-01-10 04:16:58,2024-01-10 05:02:58,lisa.taylor,Security Team,Yuki.Foster,Email,false,4.5
INC1000072,Network Connectivity - User request,Network Connectivity,WiFi,P2 - High,In Progress,2024-01-24 16:31:01,,,sarah.jones,Service Desk L2,Nathan.Evans,Chat,false,
INC1000073,Security Alert - User request,Security Alert,General,P3 - Medium,Closed,2024-01-25 10:25:03,2024-01-25 13:32:55,2024-01-25 14:22:55,john.smith,Service Desk L2,Rachel.Lopez,Email,false,4.9
INC1000074,Account Unlock - User request,Account Unlock,General,P2 - High,Closed,2024-01-22 11:02:02,2024-01-22 12:28:36,2024-01-22 13:24:36,mike.wilson,Service Desk L2,Alice.Lopez,Self-Service Portal,false,4.7
INC1000075,Software Installation - User request,Software Installation,Adobe Suite,P4 - Low,Closed,2024-01-22 12:50:57,2024-01-23 05:56:03,2024-01-23 07:25:03,james.harris,Service Desk L2,Grace.Anderson,Self-Service Portal,false,4.1
INC1000076,Hardware Issue - User request,Hardware Issue,Docking Station,P4 - Low,Closed,2024-01-24 13:26:32,2024-01-28 05:54:41,2024-01-28 07:33:41,john.smith,Service Desk L2,Henry.Ingram,Email,true,1.2
INC1000077,Network Connectivity - User request,Network Connectivity,WiFi,P3 - Medium,Closed,2024-01-16 14:45:13,2024-01-16 21:38:45,2024-01-16 23:06:45,lisa.taylor,Service Desk L1,Wendy.Chen,Walk-in,false,4.4
INC1000078,Software Installation - User request,Software Installation,Microsoft Office,P4 - Low,Closed,2024-01-17 14:13:12,2024-01-17 21:57:05,2024-01-17 22:18:05,sarah.jones,Service Desk L1,Nathan.Upton,Email,false,4.3
INC1000079,Other - User request,Other,General,P3 - Medium,Closed,2024-01-26 13:48:18,2024-01-29 12:13:11,2024-01-29 14:00:11,john.smith,Service Desk L1,Frank.Xu,Chat,true,1.0
INC1000080,Other - User request,Other,General,P2 - High,Closed,2024-01-06 01:36:38,2024-01-06 05:27:11,2024-01-06 06:02:11,james.harris,Service Desk L1,Quinn.Kim,Email,false,2.5
INC1000081,Password Reset - User request,Password Reset,Email Password,P4 - Low,Closed,2024-01-10 21:30:20,2024-01-10 23:35:56,2024-01-11 01:04:56,mike.wilson,Service Desk L1,Frank.Martin,Self-Service Portal,false,3.8
INC1000082,VPN Access - User request,VPN Access,General,P4 - Low,Closed,2024-01-19 13:40:58,2024-01-21 05:05:19,2024-01-21 06:07:19,robert.lewis,Service Desk L2,Quinn.Walsh,Self-Service Portal,false,2.8
INC1000083,Software Installation - User request,Software Installation,Business App,P3 - Medium,Closed,2024-01-05 06:35:57,2024-01-05 13:49:57,2024-01-05 15:18:57,sarah.jones,Security Team,Sam.Baker,Email,false,4.8
INC1000084,Network Connectivity - User request,Network Connectivity,VPN,P4 - Low,Reopened,2024-01-18 14:25:16,2024-01-21 01:27:03,,john.smith,Hardware Team,Frank.Young,Chat,false,
INC1000085,Password Reset - User request,Password Reset,Email Password,P3 - Medium,Closed,2024-01-24 09:57:24,2024-01-24 15:58:35,2024-01-24 16:30:35,john.smith,Service Desk L2,Victor.Xu,Email,false,
INC1000086,Network Connectivity - User request,Network Connectivity,WiFi,P3 - Medium,Open,2024-01-10 09:22:09,,,anna.clark,Service Desk L1,Olivia.Hall,Email,false,
INC1000087,Network Connectivity - User request,Network Connectivity,WiFi,P4 - Low,Closed,2024-01-05 08:18:14,2024-01-07 00:52:04,2024-01-07 01:45:04,david.brown,Hardware Team,Uma.Vance,Email,false,3.0
INC1000088,Hardware Issue - User request,Hardware Issue,Keyboard/Mouse,P4 - Low,Closed,2024-01-17 18:42:24,2024-01-19 07:51:08,2024-01-19 09:06:08,john.smith,Service Desk L1,Henry.Ingram,Email,false,3.7
INC1000089,Password Reset - User request,Password Reset,Email Password,P4 - Low,Closed,2024-01-24 13:05:34,2024-01-24 16:50:21,2024-01-24 17:29:21,david.brown,Service Desk L2,Alice.Garcia,Self-Service Portal,false,5.0
INC1000090,Other - User request,Other,General,P4 - Low,Closed,2024-01-06 14:48:30,2024-01-09 09:20:21,2024-01-09 10:11:21,mike.wilson,Service Desk L1,Grace.Lopez,Email,false,2.0
INC1000091,Software Installation - User request,Software Installation,Business App,P3 - Medium,Closed,2024-01-08 14:01:16,2024-01-08 22:56:57,2024-01-08 23:42:57,sarah.jones,Service Desk L2,Xander.Zhang,Self-Service Portal,false,4.7
INC1000092,Software Installation - User request,Software Installation,Microsoft Office,P4 - Low,Reopened,2024-01-22 08:56:34,2024-01-30 12:46:43,,james.harris,Service Desk L1,Quinn.O'Brien,Phone,false,
INC1000093,Hardware Issue - User request,Hardware Issue,Desktop,P3 - Medium,Closed,2024-01-25 13:01:00,2024-01-26 06:41:19,2024-01-26 08:00:19,emma.white,Security Team,Leo.Ingram,Phone,false,3.6
INC1000094,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-22 11:15:44,2024-01-24 05:20:54,2024-01-24 05:46:54,david.brown,Service Desk L1,Uma.Zhang,Email,true,1.0
INC1000095,Software Installation - User request,Software Installation,Business App,P3 - Medium,Closed,2024-01-06 16:58:02,2024-01-07 02:02:20,2024-01-07 03:26:20,anna.clark,Service Desk L1,Sam.Hall,Walk-in,false,3.9
INC1000096,Email / Outlook - User request,Email / Outlook,Configuration,P4 - Low,Closed,2024-01-19 10:47:08,2024-01-20 19:44:35,2024-01-20 20:28:35,emma.white,Service Desk L1,Peter.Hall,Self-Service Portal,false,3.8
INC1000097,Software Installation - User request,Software Installation,Business App,P3 - Medium,Closed,2024-01-27 08:37:42,2024-01-27 18:20:35,2024-01-27 20:15:35,sarah.jones,Service Desk L1,Eve.Chen,Phone,false,3.1
INC1000098,Password Reset - User request,Password Reset,Email Password,P3 - Medium,In Progress,2024-01-23 07:05:22,,,anna.clark,Service Desk L1,Iris.Johnson,Phone,false,
INC1000099,Software Installation - User request,Software Installation,Development Tools,P3 - Medium,Closed,2024-01-08 10:26:19,2024-01-08 13:28:35,2024-01-08 13:56:35,sarah.jones,Service Desk L1,Uma.Thomas,Email,false,
INC1000100,Password Reset - User request,Password Reset,Email Password,P4 - Low,Closed,2024-01-08 09:11:25,2024-01-08 11:13:57,2024-01-08 13:12:57,lisa.taylor,Service Desk L1,Zara.Johnson,Walk-in,false,5.0
INC1000101,System Performance - User request,System Performance,General,P3 - Medium,Closed,2024-01-22 13:08:40,2024-01-22 18:30:00,2024-01-22 20:01:00,mike.wilson,Service Desk L1,Yuki.Hall,Email,false,3.7
INC1000102,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-02 12:41:43,2024-01-04 03:47:39,2024-01-04 05:37:39,james.harris,Service Desk L1,Jack.Nelson,Email,true,1.0
INC1000103,Other - User request,Other,General,P4 - Low,Closed,2024-01-08 10:21:29,2024-01-09 11:35:21,2024-01-09 11:58:21,john.smith,Network Team,Rachel.Foster,Phone,false,4.0
INC1000104,Software Installation - User request,Software Installation,Microsoft Office,P2 - High,Closed,2024-01-24 09:25:40,2024-01-24 12:00:27,2024-01-24 13:30:27,john.smith,Service Desk L1,Karen.Garcia,Self-Service Portal,false,
INC1000105,Hardware Issue - User request,Hardware Issue,Monitor,P3 - Medium,Closed,2024-01-23 11:40:20,2024-01-24 16:37:25,2024-01-24 18:36:25,mike.wilson,Network Team,Jack.Davis,Chat,true,2.0
INC1000106,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-24 09:08:36,2024-01-24 09:52:42,2024-01-24 11:18:42,emma.white,Security Team,Maria.Roberts,Email,false,
INC1000107,Network Connectivity - User request,Network Connectivity,VPN,P3 - Medium,Closed,2024-01-24 10:53:28,2024-01-24 21:36:26,2024-01-24 23:26:26,sarah.jones,Service Desk L2,Yuki.Xu,Email,false,4.5
INC1000108,Hardware Issue - User request,Hardware Issue,Docking Station,P4 - Low,Closed,2024-01-23 07:53:41,2024-01-28 00:08:02,2024-01-28 00:53:02,james.harris,Security Team,Grace.Zhang,Email,true,1.4
INC1000109,Password Reset - User request,Password Reset,VPN Password,P4 - Low,Closed,2024-01-15 10:10:20,2024-01-15 17:31:25,2024-01-15 18:03:25,robert.lewis,Network Team,Wendy.Kim,Chat,false,5.0
INC1000110,System Performance - User request,System Performance,General,P3 - Medium,Closed,2024-01-26 11:36:40,2024-01-26 18:03:52,2024-01-26 19:23:52,david.brown,Service Desk L2,Zara.Roberts,Email,false,4.3
INC1000111,Hardware Issue - User request,Hardware Issue,Keyboard/Mouse,P3 - Medium,Closed,2024-01-13 11:20:53,2024-01-15 14:01:53,2024-01-15 14:21:53,james.harris,Network Team,Nathan.Garcia,Email,true,
INC1000112,Other - User request,Other,General,P3 - Medium,Closed,2024-01-19 08:59:56,2024-01-19 19:36:57,2024-01-19 20:41:57,mike.wilson,Service Desk L1,Eve.Scott,Phone,false,3.0
INC1000113,Password Reset - User request,Password Reset,Email Password,P2 - High,Closed,2024-01-03 00:21:52,2024-01-03 01:52:06,2024-01-03 02:20:06,lisa.taylor,Security Team,Olivia.Lopez,Phone,false,3.1
INC1000114,Account Unlock - User request,Account Unlock,General,P3 - Medium,Closed,2024-01-10 17:39:43,2024-01-10 22:12:57,2024-01-11 00:08:57,emma.white,Service Desk L2,Xander.Martin,Email,false,
INC1000115,Software Installation - User request,Software Installation,Microsoft Office,P3 - Medium,Closed,2024-01-08 11:07:15,2024-01-09 13:18:35,2024-01-09 14:45:35,robert.lewis,Service Desk L2,Iris.Garcia,Phone,true,2.8
INC1000116,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-22 10:40:45,2024-01-22 12:18:19,2024-01-22 13:08:19,john.smith,Hardware Team,Wendy.Nelson,Phone,false,5.0
INC1000117,Account Unlock - User request,Account Unlock,General,P2 - High,Closed,2024-01-05 09:59:27,2024-01-05 12:15:03,2024-01-05 12:31:03,david.brown,Network Team,Xander.Young,Phone,false,3.8
INC1000118,Security Alert - User request,Security Alert,General,P4 - Low,Closed,2024-01-04 14:01:21,2024-01-05 06:29:58,2024-01-05 07:42:58,emma.white,Service Desk L1,Alice.Hall,Phone,false,4.2
INC1000119,Password Reset - User request,Password Reset,AD Password,P3 - Medium,Closed,2024-01-08 08:54:02,2024-01-08 10:56:21,2024-01-08 11:20:21,mike.wilson,Service Desk L1,Carol.O'Brien,Self-Service Portal,false,4.8
INC1000120,System Performance - User request,System Performance,General,P1 - Critical,Closed,2024-01-19 09:35:29,2024-01-19 09:56:04,2024-01-19 11:14:04,sarah.jones,Service Desk L2,Rachel.Lopez,Self-Service Portal,false,5.0
INC1000121,Email / Outlook - User request,Email / Outlook,Configuration,P3 - Medium,Closed,2024-01-04 18:00:48,2024-01-06 16:19:21,2024-01-06 17:36:21,john.smith,Hardware Team,Wendy.Lopez,Phone,true,1.0
INC1000122,Hardware Issue - User request,Hardware Issue,Desktop,P3 - Medium,Closed,2024-01-04 11:40:52,2024-01-05 10:33:37,2024-01-05 11:28:37,david.brown,Service Desk L1,Eve.Davis,Email,false,3.3
INC1000123,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-23 07:22:49,2024-01-23 09:03:29,2024-01-23 11:03:29,john.smith,Service Desk L2,Maria.Quinn,Phone,false,4.5
INC1000124,Password Reset - User request,Password Reset,AD Password,P3 - Medium,Closed,2024-01-08 03:25:54,2024-01-08 07:12:36,2024-01-08 07:28:36,mike.wilson,Service Desk L1,Grace.Upton,Email,false,
INC1000125,Hardware Issue - User request,Hardware Issue,Monitor,P2 - High,Pending,2024-01-15 08:29:03,,,mike.wilson,Service Desk L1,Bob.Thomas,Email,false,
INC1000126,Email / Outlook - User request,Email / Outlook,Mailbox full,P3 - Medium,Closed,2024-01-16 11:56:35,2024-01-16 15:08:25,2024-01-16 15:54:25,mike.wilson,Network Team,Sam.Quinn,Self-Service Portal,false,5.0
INC1000127,Software Installation - User request,Software Installation,Adobe Suite,P4 - Low,Closed,2024-01-02 09:14:01,2024-01-05 18:46:28,2024-01-05 19:29:28,james.harris,Hardware Team,Sam.Anderson,Walk-in,true,1.0
INC1000128,VPN Access - User request,VPN Access,General,P4 - Low,Closed,2024-01-09 12:12:53,2024-01-12 01:20:22,2024-01-12 02:03:22,sarah.jones,Service Desk L2,Bob.Anderson,Email,false,
INC1000129,Password Reset - User request,Password Reset,VPN Password,P4 - Low,Closed,2024-01-11 12:54:33,2024-01-13 11:26:30,2024-01-13 11:58:30,robert.lewis,Service Desk L2,Victor.Scott,Email,false,4.7
