ticket_id,subject,category,priority,status,created_at,resolved_at,closed_at,assignee,team,customer,contact_channel,sla_breached,satisfaction_score
SUP-2000025,Feature Request - Acme Corp,Feature Request,Low,Closed,2024-01-23 14:45:45,2024-01-28 23:33:58,2024-01-29 00:33:58,laura.smith,Product Team,Acme Corp,Chat,false,
SUP-2000026,Performance Issue - StartupXYZ,Performance Issue,Low,Closed,2024-01-27 08:13:50,2024-01-30 16:34:36,2024-01-30 17:08:36,laura.smith,Engineering,StartupXYZ,Phone,false,
SUP-2000027,Feature Request - CityCouncil,Feature Request,Medium,Closed,2024-01-09 11:07:04,2024-01-11 21:55:01,2024-01-11 22:08:01,alex.chen,Product Team,CityCouncil,Email,false,
SUP-2000028,Technical Support - CityCouncil,Technical Support,High,Closed,2024-01-25 16:41:39,2024-01-26 03:19:05,2024-01-26 03:57:05,laura.smith,Technical Team,CityCouncil,Email,false,
SUP-2000029,Integration Problem - Acme Corp,Integration Problem,High,Closed,2024-01-10 04:02:54,2024-01-10 15:48:24,2024-01-10 16:26:24,jennifer.wu,Integration Team,Acme Corp,Chat,false,
SUP-2000030,Account Management - MedGroup,Account Management,Medium,Escalated,2024-01-03 11:32:58,2024-01-04 17:00:28,,carlos.silva,Account Team,MedGroup,Chat,false,
SUP-2000031,Technical Support - RetailCo,Technical Support,Low,Closed,2024-01-01 09:24:23,2024-01-02 20:20:07,2024-01-02 20:32:07,sofia.moreau,Technical Team,RetailCo,Phone,false,7.0
SUP-2000032,Integration Problem - Acme Corp,Integration Problem,Medium,Reopened,2024-01-03 08:33:05,2024-01-06 08:09:54,,laura.smith,Integration Team,Acme Corp,Chat,false,
SUP-2000033,Feature Request - Global Finance,Feature Request,Medium,Escalated,2024-01-11 10:26:13,2024-01-15 00:45:38,,maya.patel,Product Team,Global Finance,Phone,false,
SUP-2000034,Billing Issue - CityCouncil,Billing Issue,High,Reopened,2024-01-17 11:21:19,2024-01-17 18:24:32,,ryan.kim,Finance Support,CityCouncil,Email,false,
SUP-2000035,Billing Issue - RetailCo,Billing Issue,High,Closed,2024-01-18 14:55:11,2024-01-18 19:52:56,2024-01-18 20:49:56,maya.patel,Finance Support,RetailCo,Email,false,
SUP-2000036,Integration Problem - MedGroup,Integration Problem,High,Closed,2024-01-23 08:54:59,2024-01-23 20:28:49,2024-01-23 21:15:49,alex.chen,Integration Team,MedGroup,Chat,false,
SUP-2000037,Billing Issue - RetailCo,Billing Issue,Medium,Closed,2024-01-10 14:33:37,2024-01-10 19:34:52,2024-01-10 20:23:52,alex.chen,Finance Support,RetailCo,Portal,false,7.0
SUP-2000038,Billing Issue - Acme Corp,Billing Issue,Medium,Closed,2024-01-15 10:29:36,2024-01-15 22:31:33,2024-01-15 23:30:33,maya.patel,Finance Support,Acme Corp,Chat,false,7.9
SUP-2000039,Account Management - RetailCo,Account Management,Medium,Closed,2024-01-19 11:03:07,2024-01-26 08:38:17,2024-01-26 08:49:17,thomas.berg,Account Team,RetailCo,Email,true,6.7
SUP-2000040,Billing Issue - Acme Corp,Billing Issue,High,Closed,2024-01-23 10:58:34,2024-01-23 20:00:02,2024-01-23 20:58:02,maya.patel,Finance Support,Acme Corp,Portal,false,7.2
SUP-2000041,Technical Support - Acme Corp,Technical Support,Low,Closed,2024-01-16 19:22:25,2024-01-22 20:35:40,2024-01-22 21:05:40,sofia.moreau,Technical Team,Acme Corp,Phone,false,
SUP-2000042,Performance Issue - Individual,Performance Issue,Medium,Reopened,2024-01-05 15:26:42,2024-01-07 12:05:28,,thomas.berg,Engineering,Individual,Phone,false,
SUP-2000043,Billing Issue - StartupXYZ,Billing Issue,Low,Closed,2024-01-13 07:01:55,2024-01-22 03:18:30,2024-01-22 04:08:30,jennifer.wu,Finance Support,StartupXYZ,Phone,false,6.7
SUP-2000044,Technical Support - UniServices,Technical Support,Medium,Reopened,2024-01-23 15:13:26,2024-01-28 16:34:45,,carlos.silva,Technical Team,UniServices,Email,false,
SUP-2000045,Technical Support - RetailCo,Technical Support,Critical,Closed,2024-01-24 14:18:51,2024-01-24 15:48:10,2024-01-24 16:40:10,alex.chen,Technical Team,RetailCo,Email,false,8.7
SUP-2000046,Account Management - TechStart Inc,Account Management,Low,Closed,2024-01-22 05:40:34,2024-01-24 18:38:51,2024-01-24 18:50:51,maya.patel,Account Team,TechStart Inc,Phone,false,6.6
SUP-2000047,Billing Issue - UniServices,Billing Issue,Critical,Closed,2024-01-02 08:08:09,2024-01-02 09:20:03,2024-01-02 09:40:03,jennifer.wu,Finance Support,UniServices,Phone,false,7.5
SUP-2000048,Performance Issue - Acme Corp,Performance Issue,High,Closed,2024-01-25 14:10:20,2024-01-27 06:09:24,2024-01-27 07:07:24,carlos.silva,Engineering,Acme Corp,Portal,true,5.1
SUP-2000049,Billing Issue - RetailCo,Billing Issue,Medium,Closed,2024-01-10 12:13:45,2024-01-10 21:47:13,2024-01-10 22:30:13,maya.patel,Finance Support,RetailCo,Email,false,
SUP-2000050,Integration Problem - MedGroup,Integration Problem,Low,Closed,2024-01-02 14:05:26,2024-01-04 23:29:07,2024-01-05 00:13:07,alex.chen,Integration Team,MedGroup,Chat,false,5.4
SUP-2000051,Data Export/Import - Acme Corp,Data Export/Import,Medium,Closed,2024-01-10 12:00:04,2024-01-11 13:35:02,2024-01-11 13:51:02,jennifer.wu,Technical Team,Acme Corp,Phone,false,6.9
SUP-2000052,Integration Problem - CityCouncil,Integration Problem,Medium,Closed,2024-01-02 13:42:51,2024-01-06 08:06:53,2024-01-06 08:19:53,laura.smith,Integration Team,CityCouncil,Email,false,
SUP-2000053,Billing Issue - UniServices,Billing Issue,Low,Closed,2024-01-01 07:53:00,2024-01-07 16:38:12,2024-01-07 17:26:12,ryan.kim,Finance Support,UniServices,Portal,false,6.3
SUP-2000054,Feature Request - MedGroup,Feature Request,High,Closed,2024-01-25 09:25:14,2024-01-25 15:12:04,2024-01-25 15:18:04,jennifer.wu,Product Team,MedGroup,Phone,false,5.1
SUP-2000055,Technical Support - StartupXYZ,Technical Support,Medium,Closed,2024-01-12 14:00:51,2024-01-13 03:43:43,2024-01-13 03:49:43,maya.patel,Technical Team,StartupXYZ,Portal,false,
SUP-2000056,Technical Support - StartupXYZ,Technical Support,Medium,Escalated,2024-01-24 15:10:26,2024-01-25 11:48:52,,jennifer.wu,Technical Team,StartupXYZ,Chat,false,
SUP-2000057,Technical Support - StartupXYZ,Technical Support,Medium,Closed,2024-01-03 08:40:34,2024-01-07 23:06:43,2024-01-07 23:15:43,thomas.berg,Technical Team,StartupXYZ,Chat,true,5.3
SUP-2000058,Integration Problem - StartupXYZ,Integration Problem,High,Closed,2024-01-17 09:52:13,2024-01-17 16:07:50,2024-01-17 16:15:50,ryan.kim,Integration Team,StartupXYZ,Chat,false,6.4
SUP-2000059,Account Management - Global Finance,Account Management,Medium,Closed,2024-01-26 09:48:25,2024-01-28 09:07:55,2024-01-28 09:25:55,sofia.moreau,Account Team,Global Finance,Email,false,
SUP-2000060,Account Management - Global Finance,Account Management,Medium,Closed,2024-01-11 02:28:24,2024-01-14 14:31:38,2024-01-14 15:19:38,thomas.berg,Account Team,Global Finance,Chat,false,5.1
SUP-2000061,Feature Request - TechStart Inc,Feature Request,Medium,Escalated,2024-01-05 15:18:16,2024-01-07 15:43:15,,thomas.berg,Product Team,TechStart Inc,Phone,false,
SUP-2000062,Technical Support - TechStart Inc,Technical Support,High,Closed,2024-01-24 08:04:10,2024-01-24 17:01:38,2024-01-24 17:59:38,thomas.berg,Technical Team,TechStart Inc,Portal,false,5.9
SUP-2000063,Account Management - CityCouncil,Account Management,Critical,Closed,2024-01-12 12:56:41,2024-01-12 13:39:52,2024-01-12 14:19:52,alex.chen,Account Team,CityCouncil,Portal,false,8.0
SUP-2000064,Account Management - UniServices,Account Management,Critical,Closed,2024-01-28 13:16:46,2024-01-28 13:55:44,2024-01-28 14:33:44,laura.smith,Account Team,UniServices,Email,false,
SUP-2000065,Billing Issue - StartupXYZ,Billing Issue,Medium,Reopened,2024-01-01 13:03:36,2024-01-01 19:27:55,,maya.patel,Finance Support,StartupXYZ,Chat,false,
SUP-2000066,Integration Problem - Global Finance,Integration Problem,Medium,Closed,2024-01-18 06:47:45,2024-01-20 18:22:46,2024-01-20 19:04:46,ryan.kim,Integration Team,Global Finance,Phone,false,3.6
SUP-2000067,Technical Support - StartupXYZ,Technical Support,Low,Closed,2024-01-08 14:48:27,2024-01-11 00:47:52,2024-01-11 01:06:52,alex.chen,Technical Team,StartupXYZ,Phone,false,
SUP-2000068,Data Export/Import - UniServices,Data Export/Import,Critical,Closed,2024-01-22 08:02:00,2024-01-22 09:35:08,2024-01-22 10:33:08,sofia.moreau,Technical Team,UniServices,Portal,false,6.3
SUP-2000069,Feature Request - Acme Corp,Feature Request,Low,Closed,2024-01-15 13:46:01,2024-01-24 02:43:59,2024-01-24 03:02:59,sofia.moreau,Product Team,Acme Corp,Chat,false,5.1
SUP-2000070,Account Management - UniServices,Account Management,Medium,Closed,2024-01-17 15:45:55,2024-01-18 22:43:06,2024-01-18 23:38:06,maya.patel,Account Team,UniServices,Portal,false,6.5
SUP-2000071,Technical Support - TechStart Inc,Technical Support,Low,Closed,2024-01-22 09:52:50,2024-01-23 02:29:33,2024-01-23 02:59:33,sofia.moreau,Technical Team,TechStart Inc,Phone,false,7.4
SUP-2000072,Integration Problem - TechStart Inc,Integration Problem,Critical,Closed,2024-01-13 13:08:59,2024-01-13 15:18:58,2024-01-13 15:38:58,laura.smith,Integration Team,TechStart Inc,Chat,false,5.0
SUP-2000073,Billing Issue - RetailCo,Billing Issue,Low,Closed,2024-01-05 04:02:19,2024-01-06 02:04:22,2024-01-06 02:16:22,carlos.silva,Finance Support,RetailCo,Chat,false,7.6
SUP-2000074,Performance Issue - CityCouncil,Performance Issue,Low,Closed,2024-01-26 14:04:28,2024-01-28 02:50:41,2024-01-28 03:10:41,carlos.silva,Engineering,CityCouncil,Phone,false,4.7
SUP-2000075,Account Management - Global Finance,Account Management,Medium,Closed,2024-01-09 11:00:58,2024-01-10 05:00:01,2024-01-10 05:10:01,alex.chen,Account Team,Global Finance,Email,false,7.7
SUP-2000076,Feature Request - TechStart Inc,Feature Request,High,Closed,2024-01-23 10:46:16,2024-01-24 08:48:57,2024-01-24 08:58:57,ryan.kim,Product Team,TechStart Inc,Email,false,6.5
SUP-2000077,Billing Issue - StartupXYZ,Billing Issue,Low,Closed,2024-01-03 14:41:40,2024-01-04 22:25:07,2024-01-04 23:11:07,ryan.kim,Finance Support,StartupXYZ,Email,false,7.3
SUP-2000078,Performance Issue - Acme Corp,Performance Issue,Medium,Closed,2024-01-08 14:38:31,2024-01-10 21:38:34,2024-01-10 22:04:34,laura.smith,Engineering,Acme Corp,Chat,false,
SUP-2000079,Technical Support - TechStart Inc,Technical Support,High,Reopened,2024-01-23 19:14:38,2024-01-24 05:20:50,,laura.smith,Technical Team,TechStart Inc,Phone,false,
SUP-2000080,Billing Issue - Acme Corp,Billing Issue,Medium,Closed,2024-01-22 14:00:53,2024-01-23 07:17:11,2024-01-23 07:50:11,sofia.moreau,Finance Support,Acme Corp,Email,false,6.9
SUP-2000081,Billing Issue - MedGroup,Billing Issue,High,Reopened,2024-01-22 15:50:49,2024-01-22 20:53:36,,sofia.moreau,Finance Support,MedGroup,Phone,false,
SUP-2000082,Integration Problem - Acme Corp,Integration Problem,Medium,Closed,2024-01-11 17:32:32,2024-01-13 05:20:41,2024-01-13 06:13:41,maya.patel,Integration Team,Acme Corp,Portal,false,
SUP-2000083,Feature Request - RetailCo,Feature Request,Low,Closed,2024-01-16 14:31:06,2024-01-20 21:19:46,2024-01-20 22:00:46,ryan.kim,Product Team,RetailCo,Email,false,5.0
SUP-2000084,Feature Request - Individual,Feature Request,Low,Closed,2024-01-18 10:55:42,2024-01-30 05:58:48,2024-01-30 06:43:48,alex.chen,Product Team,Individual,Phone,true,7.1
SUP-2000085,Account Management - UniServices,Account Management,Medium,Escalated,2024-01-08 08:46:54,2024-01-10 02:07:46,,thomas.berg,Account Team,UniServices,Chat,false,
SUP-2000086,Technical Support - StartupXYZ,Technical Support,Critical,Closed,2024-01-09 08:31:55,2024-01-09 12:56:22,2024-01-09 13:46:22,carlos.silva,Technical Team,StartupXYZ,Phone,true,
SUP-2000087,Technical Support - StartupXYZ,Technical Support,Medium,Closed,2024-01-16 08:30:42,2024-01-17 13:16:35,2024-01-17 13:28:35,thomas.berg,Technical Team,StartupXYZ,Portal,false,6.4
SUP-2000088,Technical Support - CityCouncil,Technical Support,Critical,Closed,2024-01-11 08:22:52,2024-01-11 14:47:24,2024-01-11 15:46:24,laura.smith,Technical Team,CityCouncil,Portal,true,6.0
SUP-2000089,Integration Problem - Acme Corp,Integration Problem,Medium,Escalated,2024-01-01 18:39:00,2024-01-05 01:17:11,,jennifer.wu,Integration Team,Acme Corp,Phone,false,
SUP-2000090,Performance Issue - RetailCo,Performance Issue,Medium,Escalated,2024-01-08 09:04:29,2024-01-11 04:13:09,,thomas.berg,Engineering,RetailCo,Chat,false,
SUP-2000091,Feature Request - Global Finance,Feature Request,Low,Closed,2024-01-18 11:04:10,2024-01-28 07:27:02,2024-01-28 08:00:02,jennifer.wu,Product Team,Global Finance,Email,false,5.7
SUP-2000092,Performance Issue - MedGroup,Performance Issue,Medium,Closed,2024-01-08 08:11:15,2024-01-09 15:14:19,2024-01-09 15:53:19,laura.smith,Engineering,MedGroup,Email,false,
SUP-2000093,Feature Request - MedGroup,Feature Request,Low,Escalated,2024-01-22 12:50:58,2024-02-22 17:00:51,,thomas.berg,Product Team,MedGroup,Email,false,
SUP-2000094,Account Management - Global Finance,Account Management,Medium,Closed,2024-01-24 05:28:41,2024-01-26 23:32:05,2024-01-26 23:52:05,thomas.berg,Account Team,Global Finance,Portal,false,5.9
SUP-2000095,Technical Support - MedGroup,Technical Support,Medium,Closed,2024-01-16 22:46:41,2024-01-19 01:31:36,2024-01-19 02:03:36,sofia.moreau,Technical Team,MedGroup,Chat,false,7.4
SUP-2000096,Technical Support - MedGroup,Technical Support,Medium,Closed,2024-01-17 09:22:27,2024-01-19 19:53:31,2024-01-19 20:45:31,jennifer.wu,Technical Team,MedGroup,Chat,false,6.6
SUP-2000097,Account Management - TechStart Inc,Account Management,Medium,Closed,2024-01-04 15:55:35,2024-01-04 21:31:28,2024-01-04 21:56:28,maya.patel,Account Team,TechStart Inc,Phone,false,6.3
SUP-2000098,Billing Issue - RetailCo,Billing Issue,High,Reopened,2024-01-16 09:48:33,2024-01-16 18:41:33,,ryan.kim,Finance Support,RetailCo,Chat,false,
SUP-2000099,Integration Problem - UniServices,Integration Problem,Critical,Closed,2024-01-23 10:05:03,2024-01-23 14:13:47,2024-01-23 14:37:47,maya.patel,Integration Team,UniServices,Phone,true,5.6
SUP-2000100,Technical Support - Individual,Technical Support,Medium,Closed,2024-01-20 11:31:03,2024-01-21 16:16:35,2024-01-21 16:57:35,jennifer.wu,Technical Team,Individual,Phone,false,6.2
SUP-2000101,Feature Request - Individual,Feature Request,Low,Escalated,2024-01-12 14:25:55,2024-01-15 17:47:52,,sofia.moreau,Product Team,Individual,Phone,false,
SUP-2000102,Integration Problem - RetailCo,Integration Problem,Medium,Closed,2024-01-26 13:17:33,2024-01-28 13:55:10,2024-01-28 14:20:10,ryan.kim,Integration Team,RetailCo,Portal,false,7.0
SUP-2000103,Integration Problem - Global Finance,Integration Problem,Medium,Closed,2024-01-07 01:17:25,2024-01-09 20:04:08,2024-01-09 20:39:08,carlos.silva,Integration Team,Global Finance,Chat,false,5.1
SUP-2000104,Integration Problem - RetailCo,Integration Problem,Medium,Closed,2024-01-05 10:25:17,2024-01-11 03:05:17,2024-01-11 03:44:17,sofia.moreau,Integration Team,RetailCo,Portal,true,
SUP-2000105,Data Export/Import - Acme Corp,Data Export/Import,Low,Closed,2024-01-16 11:48:51,2024-01-18 08:07:11,2024-01-18 08:47:11,carlos.silva,Technical Team,Acme Corp,Portal,false,7.1
SUP-2000106,Billing Issue - TechStart Inc,Billing Issue,Medium,Closed,2024-01-22 12:43:50,2024-01-22 23:39:17,2024-01-22 23:58:17,carlos.silva,Finance Support,TechStart Inc,Chat,false,6.0
SUP-2000107,Performance Issue - StartupXYZ,Performance Issue,High,Closed,2024-01-04 12:46:06,2024-01-04 23:00:23,2024-01-04 23:15:23,maya.patel,Engineering,StartupXYZ,Email,false,7.6
SUP-2000108,Performance Issue - RetailCo,Performance Issue,Critical,Closed,2024-01-26 09:20:55,2024-01-26 13:05:56,2024-01-26 13:28:56,maya.patel,Engineering,RetailCo,Email,false,5.5
SUP-2000109,Performance Issue - Global Finance,Performance Issue,Medium,Closed,2024-01-13 12:32:19,2024-01-19 18:27:17,2024-01-19 19:19:17,maya.patel,Engineering,Global Finance,Phone,true,
SUP-2000110,Feature Request - Acme Corp,Feature Request,High,Closed,2024-01-01 15:24:40,2024-01-02 00:57:55,2024-01-02 01:02:55,maya.patel,Product Team,Acme Corp,Chat,false,5.8
SUP-2000111,Performance Issue - RetailCo,Performance Issue,Medium,Closed,2024-01-22 16:36:51,2024-01-25 01:07:42,2024-01-25 01:22:42,carlos.silva,Engineering,RetailCo,Email,false,6.1
SUP-2000112,Feature Request - MedGroup,Feature Request,High,Closed,2024-01-16 14:04:12,2024-01-17 05:52:15,2024-01-17 06:29:15,laura.smith,Product Team,MedGroup,Email,false,4.9
SUP-2000113,Integration Problem - MedGroup,Integration Problem,Critical,Closed,2024-01-03 22:01:32,2024-01-04 02:13:39,2024-01-04 02:29:39,jennifer.wu,Integration Team,MedGroup,Chat,true,
SUP-2000114,Performance Issue - TechStart Inc,Performance Issue,Medium,Closed,2024-01-12 10:23:12,2024-01-13 04:01:04,2024-01-13 04:09:04,alex.chen,Engineering,TechStart Inc,Phone,false,8.0
SUP-2000115,Feature Request - Global Finance,Feature Request,High,Closed,2024-01-26 17:17:30,2024-01-27 23:29:48,2024-01-28 00:15:48,maya.patel,Product Team,Global Finance,Portal,true,
SUP-2000116,Integration Problem - Global Finance,Integration Problem,Low,Closed,2024-01-04 07:28:25,2024-02-17 05:47:24,2024-02-17 05:53:24,thomas.berg,Integration Team,Global Finance,Portal,true,4.2
SUP-2000117,Data Export/Import - RetailCo,Data Export/Import,Medium,Closed,2024-01-06 14:52:23,2024-01-08 10:24:34,2024-01-08 10:50:34,jennifer.wu,Technical Team,RetailCo,Portal,false,7.8
SUP-2000118,Billing Issue - MedGroup,Billing Issue,High,Closed,2024-01-24 09:37:21,2024-01-24 18:29:10,2024-01-24 19:16:10,carlos.silva,Finance Support,MedGroup,Portal,false,
SUP-2000119,Account Management - Global Finance,Account Management,Low,Closed,2024-01-09 15:43:12,2024-01-11 22:08:42,2024-01-11 23:04:42,laura.smith,Account Team,Global Finance,Portal,false,7.1
SUP-2000120,Account Management - MedGroup,Account Management,High,Closed,2024-01-13 10:43:22,2024-01-14 04:55:48,2024-01-14 05:45:48,sofia.moreau,Account Team,MedGroup,Phone,false,7.9
SUP-2000121,Integration Problem - TechStart Inc,Integration Problem,Medium,Closed,2024-01-18 03:41:54,2024-01-19 12:52:55,2024-01-19 13:52:55,sofia.moreau,Integration Team,TechStart Inc,Portal,false,7.8
SUP-2000122,Billing Issue - Individual,Billing Issue,Low,Closed,2024-01-05 04:47:12,2024-01-08 03:07:46,2024-01-08 03:31:46,alex.chen,Finance Support,Individual,Chat,false,8.0
SUP-2000123,Account Management - CityCouncil,Account Management,Low,Escalated,2024-01-17 10:08:47,2024-01-25 13:04:08,,carlos.silva,Account Team,CityCouncil,Portal,false,
SUP-2000124,Billing Issue - RetailCo,Billing Issue,Critical,Reopened,2024-01-04 09:45:36,2024-01-04 15:02:57,,thomas.berg,Finance Support,RetailCo,Chat,false,
SUP-2000125,Technical Support - Acme Corp,Technical Support,Low,Escalated,2024-01-23 20:50:18,2024-01-26 02:11:48,,laura.smith,Technical Team,Acme Corp,Chat,false,
SUP-2000126,Billing Issue - Acme Corp,Billing Issue,Low,Closed,2024-01-25 16:54:28,2024-01-31 12:27:13,2024-01-31 13:11:13,jennifer.wu,Finance Support,Acme Corp,Chat,false,5.5
SUP-2000127,Feature Request - Acme Corp,Feature Request,Critical,Closed,2024-01-13 20:26:12,2024-01-13 22:46:32,2024-01-13 23:11:32,laura.smith,Product Team,Acme Corp,Email,false,6.5
SUP-2000128,Technical Support - Acme Corp,Technical Support,Medium,Closed,2024-01-10 15:05:49,2024-01-13 05:39:35,2024-01-13 06:01:35,alex.chen,Technical Team,Acme Corp,Email,false,6.3
SUP-2000129,Performance Issue - UniServices,Performance Issue,Critical,Closed,2024-01-01 09:17:54,2024-01-01 14:05:07,2024-01-01 15:04:07,jennifer.wu,Engineering,UniServices,Chat,true,6.4
SUP-2000130,Account Management - TechStart Inc,Account Management,Low,Closed,2024-01-06 10:49:12,2024-01-14 19:24:17,2024-01-14 19:55:17,sofia.moreau,Account Team,TechStart Inc,Email,false,
SUP-2000131,Integration Problem - StartupXYZ,Integration Problem,Medium,Reopened,2024-01-26 11:21:39,2024-01-27 13:41:14,,jennifer.wu,Integration Team,StartupXYZ,Chat,false,
SUP-2000132,Data Export/Import - RetailCo,Data Export/Import,Low,Closed,2024-01-02 15:21:55,2024-01-21 15:12:43,2024-01-21 15:51:43,alex.chen,Technical Team,RetailCo,Portal,true,7.8
SUP-2000133,Technical Support - Acme Corp,Technical Support,Medium,Closed,2024-01-09 13:27:27,2024-01-15 20:20:21,2024-01-15 21:03:21,laura.smith,Technical Team,Acme Corp,Chat,true,6.1
SUP-2000134,Performance Issue - MedGroup,Performance Issue,Medium,Closed,2024-01-10 09:58:31,2024-01-14 07:30:43,2024-01-14 08:23:43,jennifer.wu,Engineering,MedGroup,Portal,false,5.3
SUP-2000135,Technical Support - Acme Corp,Technical Support,Medium,Reopened,2024-01-04 16:58:05,2024-01-05 05:52:43,,laura.smith,Technical Team,Acme Corp,Portal,false,
SUP-2000136,Technical Support - CityCouncil,Technical Support,Low,Escalated,2024-01-19 11:59:00,2024-01-23 04:05:00,,maya.patel,Technical Team,CityCouncil,Phone,false,
SUP-2000137,Feature Request - UniServices,Feature Request,Low,Closed,2024-01-08 08:45:34,2024-01-10 06:44:17,2024-01-10 06:49:17,maya.patel,Product Team,UniServices,Chat,false,6.1
SUP-2000138,Billing Issue - RetailCo,Billing Issue,High,Closed,2024-01-23 09:38:26,2024-01-23 16:12:57,2024-01-23 16:50:57,carlos.silva,Finance Support,RetailCo,Chat,false,7.6
